purchase_frequency,support_calls,product_quality,return_rate,satisfaction
12,1,Medium,0.1674026657,1
12,5,Medium,0.1394942923,1
12,4,Medium,0.1360281544,1
13,3,High,0.1237222756,1
9,1,High,0.1505433279,1
13,3,High,0.03172102106,1
13,6,High,0.1761741518,1
1,1,Medium,0.1743687055,1
9,1,Medium,0.005849456607,1
7,2,High,0.1651633501,1
9,1,Low,0.02577397349,1
8,7,Medium,0.06702377085,1
1,0,High,0.1487016513,1
12,7,High,0.03215197921,1
8,4,High,0.1635934048,0
8,4,High,0.1664268356,0
11,3,High,0.1014935468,1
3,7,High,0.001277174343,0
1,7,High,0.05740762663,1
8,7,High,0.1233853837,1
3,6,Medium,0.1962372356,0
3,1,High,0.1263627054,1
1,0,Medium,0.05196071621,1
11,3,High,0.1268011406,1
5,7,Low,0.1079970759,1
10,7,High,0.155969079,0
7,2,High,0.02139612777,1
10,3,Low,0.1522055805,0
9,7,Medium,0.1082533157,1
12,3,Medium,0.1925984008,1
7,1,High,0.06837443321,1
9,2,High,0.1265243786,1
8,3,Medium,0.1864056211,1
12,0,Low,0.0205019456,0
2,0,Medium,0.1874456974,1
1,4,Medium,0.1375771445,1
7,2,High,0.01356741182,1
7,2,Medium,0.06019271339,1
14,4,High,0.1416344177,1
8,3,High,0.01347012029,1
5,2,High,0.116434092,1
3,0,Medium,0.06917661139,1
12,0,High,0.1241831036,1
8,7,High,0.009148406763,1
6,1,Medium,0.1743073612,0
11,2,High,0.1946977938,1
3,3,Medium,0.1937755711,0
1,4,High,0.1499303663,1
3,4,High,0.02601724803,1
5,3,Medium,0.1516526392,1
14,6,High,0.004917383292,1
3,5,High,0.004424710306,1
1,1,High,0.06472204383,1
5,4,High,0.09772863808,1
10,2,Low,0.1540814836,0
7,1,High,0.1366590753,1
14,2,Medium,0.08918054128,0
7,6,High,0.05472533326,1
11,0,Medium,0.1994249,1
9,1,Medium,0.08523626045,0
10,7,Medium,0.09027740487,0
10,4,High,0.03272476424,1
12,1,High,0.1589619097,1
13,1,High,0.1387364452,1
3,1,Low,0.04415392256,1
7,5,Medium,0.01647620912,0
1,1,Low,0.1360998604,1
4,2,High,0.1309022429,1
13,0,Medium,0.0546519054,1
4,6,Low,0.1901727125,0
14,3,High,0.03021157836,1
5,1,High,0.08646696021,1
7,4,Medium,0.188723184,0
7,1,Medium,0.08394546339,1
13,4,Medium,0.1277051895,0
11,2,High,0.07951887959,1
13,4,Medium,0.05484304047,1
4,7,High,0.1967955296,0
13,3,High,0.08186680126,1
7,0,High,0.1788198407,1
11,4,Medium,0.04599092118,1
3,4,Medium,0.04262094081,1
6,0,Medium,0.006226816577,1
12,3,High,0.1303333651,1
2,1,Medium,0.07370526874,1
10,4,High,0.17287165,0
13,0,Medium,0.09464198134,0
14,7,High,0.1936386856,1
9,7,High,0.03710510314,1
5,2,High,0.1737246336,1
6,0,High,0.1553193706,1
12,2,Medium,0.1541843689,1
12,7,Medium,0.1689566456,0
12,3,High,0.1522047982,1
12,1,Medium,0.1252440643,1
4,0,High,0.02624897554,0
14,6,Medium,0.006505235898,1
14,7,Low,0.1841695696,0
11,7,Medium,0.1233300629,0
10,6,High,0.1593074582,0
7,5,Low,0.0963044703,1
12,7,Medium,0.02346163779,0
9,4,High,0.02503715844,1
7,3,High,0.1371130574,1
14,0,Medium,0.08606117898,1
1,6,Medium,0.04010494534,1
1,4,Medium,0.09831890935,1
9,6,Medium,0.01284178742,0
11,0,Medium,0.1163942804,1
14,2,High,0.05379868089,1
9,0,High,0.1595118201,1
4,5,High,0.06207239178,0
13,0,Medium,0.09104402982,1
9,0,High,0.002324107982,0
3,5,Medium,0.01448937756,1
7,3,Medium,0.07849871128,1
6,7,Medium,0.09598776694,1
8,0,High,0.1200041096,1
11,5,Medium,0.05833251574,1
9,4,High,0.1389963772,1
14,2,Medium,0.1720244794,1
5,2,High,0.1559701978,1
1,0,High,0.00792376507,1
3,3,Medium,0.09610138945,1
10,3,High,0.02098603568,1
12,4,High,0.04840900317,1
8,0,Medium,0.1973325187,1
11,2,Medium,0.02849910858,1
6,3,Medium,0.09977763069,1
8,0,Medium,0.1236311469,0
9,6,Medium,0.1404929941,1
4,3,High,0.1119297367,1
1,5,High,0.001954169484,1
14,6,High,0.06529226165,1
1,7,Low,0.1035423287,1
10,3,Medium,0.01757329983,1
4,2,High,0.07012538624,1
12,1,High,0.006640621758,1
14,6,Low,0.01571569943,1
7,7,High,0.07938465524,0
2,4,Medium,0.02654315081,1
3,4,Medium,0.1135081697,1
1,2,Medium,0.1378929938,1
5,3,High,0.1601173398,0
1,0,Medium,0.04003004885,0
8,3,Low,0.03349651645,1
1,2,Medium,0.02091356807,0
11,4,Medium,0.1272860499,0
1,3,Low,0.1412951453,0
2,4,Medium,0.006317228965,1
2,6,High,0.1872424492,0
12,7,Medium,0.01039425673,1
6,0,Medium,0.1082592671,1
7,6,High,0.1418121039,1
5,4,Medium,0.1741938247,0
1,4,Low,0.1428173864,1
1,1,Low,0.1603456166,0
3,1,High,0.06789003851,0
14,6,High,0.1629650227,1
2,5,Low,0.01602296928,1
5,6,Medium,0.1789633312,0
12,1,High,0.1095184752,1
10,4,Low,0.163459554,0
6,2,Medium,0.0904636569,0
7,6,Medium,0.128715539,1
4,4,Medium,0.1052805322,1
7,2,High,0.1463179044,1
11,2,High,0.01632599641,1
8,1,High,0.0120704168,1
11,6,Medium,0.0494206468,1
1,3,High,0.03190893602,0
6,0,High,0.1743567133,1
8,1,High,0.04384279747,1
5,1,Medium,0.1951730512,1
4,3,Low,0.06737915835,1
2,0,High,0.03642358314,0
6,4,High,0.1579397014,1
6,5,Medium,0.1317415551,1
11,6,High,0.09963914329,1
1,5,High,0.1110727102,1
9,4,High,0.1438403557,1
12,7,High,0.04569094827,1
11,1,High,0.1992667832,1
6,0,High,0.1949586324,1
13,1,High,0.1300651373,1
3,2,Low,0.03990849019,0
4,1,High,0.1360456485,1
12,1,Medium,0.0144396818,1
11,4,Medium,0.006130500441,1
4,4,High,0.0515365777,1
3,4,Medium,0.09252459135,1
10,5,High,0.1736545011,0
3,2,Low,0.145433814,1
3,7,High,0.1485413042,1
4,7,High,0.08509866689,1
7,4,High,0.06918699851,0
4,0,Low,0.0742077526,0
9,5,Medium,0.1975299127,0
1,3,Medium,0.008021838282,1
8,0,High,0.1734062992,1
7,6,Medium,0.1157350817,1
2,6,High,0.08772308384,1
8,0,Medium,0.1450515321,1
1,4,High,0.09733378828,1
11,3,High,0.1746846476,1
12,3,High,0.1801403728,1
9,5,High,0.08434418537,1
9,3,Medium,0.05536555945,1
2,6,High,0.1184700657,1
7,2,Medium,0.1824726691,1
14,4,High,0.0421324378,1
10,3,Medium,0.1245933167,0
3,5,High,0.126312044,1
7,6,High,0.1466226045,1
12,2,Medium,0.02631353703,0
10,1,High,0.1431649929,0
9,1,High,0.1818065041,0
4,2,Medium,0.03593662177,0
12,6,Low,0.04750866498,1
1,5,High,0.1942790188,0
2,2,High,0.03619539054,1
1,4,Medium,0.1708770187,0
14,4,High,0.09845557129,1
12,1,High,0.04944621488,1
5,3,High,0.1741499803,1
5,5,Medium,0.089061051,1
11,1,Medium,0.1029634708,1
7,3,High,0.07184667388,1
9,3,High,0.1185901703,1
9,7,High,0.03270477452,1
3,4,Medium,0.07821630733,1
3,6,High,0.1938824645,0
3,0,High,0.05162668654,1
4,6,Medium,0.1313473329,0
8,0,High,0.06503801284,1
6,2,Medium,0.1546946251,0
8,4,High,0.02617473214,1
1,3,High,0.193964209,1
8,5,High,0.09075790828,1
4,0,Medium,0.04721009267,0
11,6,Medium,0.01469934947,1
1,3,Medium,0.03395158102,0
8,0,High,0.1039547897,1
4,0,Medium,0.06740063529,1
6,7,High,0.1657766732,0
8,0,High,0.08617750473,1
4,5,Medium,0.04974285452,0
14,4,High,0.1234289973,1
3,5,High,0.1413554434,1
14,1,High,0.03340838158,1
9,3,High,0.03352384326,0
3,4,High,0.007334285387,1
9,7,Medium,0.147280403,0
13,4,High,0.1327609055,1
2,4,Medium,0.09492617515,1
14,6,Medium,0.1688340898,0
2,4,High,0.1611340306,0
2,7,High,0.1170708729,1
6,5,High,0.1736542561,0
3,4,Medium,0.04116824201,1
13,2,High,0.02238392388,1
9,3,Medium,0.0539499223,1
4,4,High,0.01141737122,1
1,3,Medium,0.1062339056,1
4,2,High,0.1873211385,1
1,2,High,0.007868708134,1
14,3,Low,0.0244219828,1
5,0,Medium,0.09043980566,1
4,1,High,0.1867750035,1
8,6,Medium,0.063231221,1
8,0,High,0.1014469617,0
7,0,Medium,0.00831457181,1
3,5,Medium,0.02966864019,1
1,6,High,0.1973260246,0
1,6,High,0.1930237393,0
12,0,High,0.0009879961869,1
11,4,Medium,0.1903623571,0
3,5,Medium,0.1278239876,1
6,5,High,0.1735836589,0
7,2,High,0.09094797113,1
6,7,Medium,0.1031192057,1
14,6,Low,0.09776931605,1
14,0,Medium,0.1333728515,1
6,2,High,0.02793025095,1
6,3,High,0.005994717975,1
13,1,High,0.06158598832,1
3,7,Low,0.1409361525,1
6,7,High,0.04037069042,1
8,7,Medium,0.1346864867,0
11,5,High,0.1939824092,1
11,3,Medium,0.01878014316,1
2,7,Medium,0.1345204236,1
5,3,Medium,0.08875004386,1
14,4,High,0.1736284509,1
1,7,High,0.03542995789,1
12,1,High,0.1385251904,1
1,3,Low,0.1676230579,0
5,3,Medium,0.1889228439,1
12,1,Medium,0.1366496057,1
13,7,Medium,0.0994349528,0
3,1,Medium,0.123569448,1
4,3,High,0.1737809969,1
3,1,Low,0.1141219493,1
1,3,High,0.006077411939,1
1,3,High,0.1861897391,1
12,4,Medium,0.1379053502,1
12,0,High,0.1353026772,1
14,3,High,0.04313503048,1
13,7,Medium,0.131777094,1
14,2,High,0.07877288113,1
5,5,Medium,0.1302465954,0
6,6,High,0.02131860606,1
3,0,High,0.1315690609,1
12,0,High,0.1998827452,1
9,0,High,0.009642407772,1
5,4,Medium,0.1954348368,0
8,3,High,0.08138159214,1
13,4,Medium,0.1741506901,0
1,3,High,0.1564770968,0
14,7,Medium,0.1134032522,0
5,4,Low,0.1476898419,1
3,4,Medium,0.1757031123,0
12,5,High,0.08082806433,1
1,2,High,0.06540663231,1
4,4,High,0.1335186771,1
13,5,Medium,0.1615691884,0
5,1,High,0.152457027,1
7,2,High,0.1595627298,1
1,7,Medium,0.08711666296,1
3,4,High,0.1635668432,1
2,6,Medium,0.02404181107,1
9,0,High,0.1088978196,1
10,1,High,0.0011517321,1
6,1,Medium,0.06491716598,0
10,7,High,0.07329230697,0
3,5,Medium,0.07923453832,1
8,1,High,0.1390934413,1
14,2,High,0.07771162025,1
8,4,Medium,0.08973872452,1
2,4,Medium,0.04750882617,1
6,6,Medium,0.07465035833,0
7,7,High,0.04545392545,1
2,0,Medium,0.01463918475,0
11,5,High,0.1206897187,1
10,0,High,0.1336425597,1
2,1,Low,0.1238980692,1
10,7,High,0.09269880876,0
1,6,Low,0.07595715604,0
8,0,High,0.1726667299,1
1,2,High,0.103816357,1
9,4,Medium,0.09583637553,1
11,1,Medium,0.005128413161,1
6,6,Medium,0.06824956553,1
7,0,Medium,0.07603912376,1
13,5,Medium,0.07976455618,1
10,2,Medium,0.1160344738,1
7,2,Medium,0.1067205093,1
10,0,High,0.1215810186,0
3,4,High,0.1529766523,0
2,0,High,0.1625971477,0
9,1,Low,0.1436246152,0
8,0,Low,0.1911047392,1
13,2,High,0.003646516535,1
12,6,Medium,0.03915559714,1
10,0,Low,0.001512574996,1
7,4,High,0.1294949428,1
9,7,Medium,0.1796061098,0
4,6,Low,0.04869645932,0
13,5,High,0.185406909,1
4,3,Medium,0.01205347806,1
1,0,High,0.1868872054,1
8,4,Low,0.07032453745,1
14,6,Low,0.02028416569,0
14,4,Low,0.09717435184,1
12,5,High,0.05135531354,1
3,2,Medium,0.05697458039,1
7,4,Medium,0.06145799299,1
12,6,High,0.1606051796,0
2,4,Medium,0.1078322553,1
2,4,High,0.06226153983,0
7,4,Medium,0.1220667567,1
6,1,High,0.1432301348,1
3,1,High,0.05452480015,1
9,2,High,0.08270982031,1
10,0,Medium,0.02437721867,1
14,4,High,0.03622986991,1
13,5,Medium,0.1362235708,0
6,0,High,0.03628766954,1
