Pclass,Sex,Age,Fare,Survived
3,female,73.4,97.38,0
1,female,57.8,37.43,0
2,female,35.0,10.55,0
3,male,39.8,40.52,1
1,female,60.5,44.83,1
2,female,75.9,88.24,0
1,male,54.8,38.16,1
2,male,31.9,43.07,0
2,female,42.4,63.68,0
3,male,50.6,90.48,1
1,female,79.9,14.25,1
1,female,24.8,13.8,1
1,male,79.8,21.29,1
3,female,53.1,86.28,0
1,female,65.1,98.09,0
3,female,31.8,76.85,0
1,male,43.6,11.77,1
1,male,70.8,70.68,1
3,female,22.5,43.24,0
3,female,44.4,52.37,0
2,female,62.0,71.55,0
1,male,18.5,80.56,0
2,female,49.0,42.41,1
3,female,48.8,32.51,0
3,female,23.8,69.24,0
3,female,28.4,63.44,0
1,female,54.7,91.81,0
2,male,34.1,88.98,0
3,male,42.1,96.78,1
2,male,61.0,27.07,0
3,male,71.7,37.5,1
3,male,25.5,35.2,1
3,male,23.4,38.71,0
1,female,70.1,92.84,1
1,male,24.1,15.84,0
2,female,10.7,70.0,1
1,male,40.9,71.89,1
3,male,45.5,89.02,0
1,female,67.0,12.29,1
2,male,68.4,89.73,1
2,female,19.7,35.51,0
2,female,35.8,25.15,0
1,female,13.8,88.29,1
3,male,46.5,85.68,0
3,female,51.7,17.36,0
1,male,34.8,73.66,0
3,male,40.4,72.59,0
2,male,76.7,39.88,0
3,female,61.5,71.36,0
1,male,26.7,17.72,1
1,male,37.3,15.23,1
3,male,53.1,45.03,1
3,female,76.8,97.18,0
1,female,10.2,55.69,1
3,male,24.4,54.64,0
2,male,62.0,37.61,1
1,female,79.0,86.36,0
1,female,20.1,92.11,0
3,female,55.5,25.76,0
1,male,38.8,87.69,1
1,female,63.5,71.57,1
1,male,25.4,59.87,0
1,female,17.1,42.94,0
1,female,30.8,91.01,1
1,male,20.7,97.1,1
2,male,23.3,29.45,1
3,female,27.1,84.18,1
1,female,4.0,89.72,0
